time,in_pm10,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10
2020-06-01 00:00:00+00:00,27.966666666666665,23.0,32.0,45.0,17.533333333333335
2020-06-01 01:00:00+00:00,17.533333333333335,14.0,23.0,3.0,14.95
2020-06-01 02:00:00+00:00,14.95,14.0,17.0,4.0,16.35
2020-06-01 03:00:00+00:00,16.35,15.0,19.0,52.0,15.1
2020-06-01 04:00:00+00:00,15.1,13.0,17.0,39.0,14.05
2020-06-01 05:00:00+00:00,14.05,11.0,16.0,19.0,12.55
2020-06-01 06:00:00+00:00,12.55,11.0,18.0,39.0,18.25
2020-06-01 07:00:00+00:00,18.25,13.0,26.0,1.0,24.23728813559322
2020-06-01 08:00:00+00:00,24.23728813559322,20.0,29.0,0.0,25.183333333333334
2020-06-01 09:00:00+00:00,25.183333333333334,21.0,28.0,1.0,20.85
2020-06-01 10:00:00+00:00,20.85,15.0,29.0,0.0,14.166666666666666
2020-06-01 11:00:00+00:00,14.166666666666666,8.0,20.0,0.0,14.15
2020-06-01 12:00:00+00:00,14.15,12.0,18.0,0.0,11.516666666666667
2020-06-01 13:00:00+00:00,11.516666666666667,6.0,16.0,126.0,8.433333333333334
2020-06-01 14:00:00+00:00,8.433333333333334,4.0,35.0,52.0,7.183333333333334
2020-06-01 15:00:00+00:00,7.183333333333334,4.0,27.0,195.0,6.783333333333333
2020-06-01 16:00:00+00:00,6.783333333333333,5.0,19.0,232.0,6.95
2020-06-01 17:00:00+00:00,6.95,4.0,10.0,220.0,8.566666666666666
2020-06-01 18:00:00+00:00,8.566666666666666,7.0,12.0,219.0,8.816666666666666
2020-06-01 19:00:00+00:00,8.816666666666666,6.0,12.0,356.0,9.745762711864408
2020-06-01 20:00:00+00:00,9.745762711864408,8.0,12.0,0.0,12.2
2020-06-01 21:00:00+00:00,12.2,8.0,21.0,0.0,16.683333333333334
2020-06-01 22:00:00+00:00,16.683333333333334,12.0,27.0,83.0,21.816666666666663
