time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max
2020-06-01 12:00:00+00:00,399.5,387.0,422.0,37.30769230769231,34.0,41.0,10.634615384615383,6.0,15.0,26.93653846153846,25.9,27.3,2.923076923076923,0.0,8.0
2020-06-01 13:00:00+00:00,387.3666666666667,380.0,396.0,32.71666666666667,31.0,35.0,4.683333333333334,2.0,7.0,27.43,27.3,27.6,5.366666666666666,0.0,31.0
2020-06-01 14:00:00+00:00,388.4166666666667,378.0,398.0,31.166666666666668,31.0,32.0,2.816666666666667,2.0,4.0,27.365,27.2,27.6,16.333333333333332,1.0,49.0
2020-06-01 15:00:00+00:00,390.8666666666667,379.0,405.0,29.95,29.0,31.0,1.8833333333333333,1.0,3.0,28.001666666666665,27.5,28.3,52.9,5.0,107.0
2020-06-01 16:00:00+00:00,394.6166666666667,383.0,415.0,30.7,30.0,31.0,3.9,2.0,7.0,28.203333333333333,27.9,28.4,68.03333333333333,27.0,117.0
2020-06-01 17:00:00+00:00,398.53333333333336,384.0,436.0,31.1,30.0,32.0,4.533333333333333,3.0,6.0,28.541666666666668,28.4,28.7,188.4,41.0,1483.0
2020-06-01 18:00:00+00:00,401.3833333333333,393.0,427.0,32.13333333333333,32.0,33.0,3.3833333333333333,2.0,4.0,28.863333333333333,28.7,28.9,535.8333333333334,242.0,726.0
2020-06-01 19:00:00+00:00,398.3,390.0,406.0,33.5,33.0,34.0,3.083333333333333,2.0,4.0,28.566666666666663,28.4,28.8,509.01666666666665,439.0,568.0
2020-06-01 20:00:00+00:00,396.28333333333336,389.0,403.0,34.63333333333333,34.0,35.0,3.6666666666666665,3.0,6.0,28.09333333333333,27.8,28.3,410.55,383.0,454.0
2020-06-01 21:00:00+00:00,397.06666666666666,391.0,405.0,36.11666666666667,35.0,37.0,4.733333333333333,4.0,7.0,27.725,27.6,27.8,387.6833333333333,351.0,428.0
2020-06-01 22:00:00+00:00,402.75,396.0,411.0,37.38333333333333,37.0,38.0,5.65,4.0,8.0,27.476666666666667,27.4,27.6,384.78333333333336,368.0,401.0
2020-06-01 23:00:00+00:00,408.9666666666666,401.0,416.0,38.31666666666667,38.0,39.0,7.1,5.0,10.0,27.35,27.3,27.4,390.9166666666667,374.0,400.0
2020-06-02 00:00:00+00:00,412.0,403.0,422.0,39.0,39.0,39.0,9.152542372881356,7.0,12.0,27.161016949152543,27.1,27.3,87.89830508474576,0.0,388.0
2020-06-02 01:00:00+00:00,414.4,404.0,420.0,39.0,39.0,39.0,10.916666666666666,10.0,14.0,27.026666666666664,27.0,27.1,4.666666666666667,2.0,10.0
2020-06-02 02:00:00+00:00,415.23333333333335,407.0,425.0,39.0,39.0,39.0,11.116666666666667,10.0,13.0,26.94333333333333,26.9,27.0,9.666666666666666,4.0,14.0
2020-06-02 03:00:00+00:00,414.95,407.0,421.0,39.0,39.0,39.0,11.083333333333334,10.0,12.0,26.89,26.8,26.9,14.533333333333331,10.0,20.0
2020-06-02 04:00:00+00:00,417.7166666666666,411.0,426.0,39.13333333333333,39.0,40.0,11.15,10.0,14.0,26.8,26.8,26.8,11.016666666666667,4.0,16.0
2020-06-02 05:00:00+00:00,424.73333333333335,415.0,433.0,39.0,39.0,39.0,10.766666666666667,10.0,12.0,26.746666666666663,26.7,26.8,8.783333333333333,4.0,15.0
2020-06-02 06:00:00+00:00,430.95,420.0,442.0,39.45,39.0,40.0,11.766666666666667,10.0,15.0,26.71833333333333,26.7,26.8,170.11666666666667,13.0,569.0
2020-06-02 07:00:00+00:00,435.26666666666665,423.0,446.0,40.1,40.0,41.0,13.416666666666666,12.0,15.0,26.63833333333333,26.6,26.7,159.13333333333333,120.0,239.0
2020-06-02 08:00:00+00:00,444.53333333333336,434.0,477.0,40.11666666666667,40.0,41.0,13.533333333333331,11.0,15.0,26.65,26.6,26.8,98.1,79.0,121.0
2020-06-02 09:00:00+00:00,471.15,447.0,534.0,39.11666666666667,39.0,40.0,14.633333333333333,12.0,21.0,26.951666666666664,26.8,27.1,78.13333333333334,5.0,119.0
2020-06-02 10:00:00+00:00,457.6,447.0,475.0,39.23333333333333,39.0,40.0,23.1,20.0,29.0,26.62833333333333,26.5,26.8,23.6,1.0,104.0
2020-06-02 11:00:00+00:00,457.1666666666667,445.0,477.0,41.48333333333333,40.0,43.0,24.8,20.0,30.0,26.486666666666668,26.0,26.8,109.05,4.0,958.0
2020-06-02 12:00:00+00:00,458.0185185185185,447.0,466.0,41.51851851851852,41.0,43.0,14.648148148148149,11.0,21.0,26.54259259259259,26.2,26.8,66.24074074074075,2.0,248.0
