time,in_pm10,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10
2022-05-01 00:00:00+00:00,42.05,38.0,46.0,42.0,40.31666666666667
2022-05-01 01:00:00+00:00,40.31666666666667,38.0,43.0,42.0,30.98333333333333
2022-05-01 02:00:00+00:00,30.98333333333333,25.0,38.0,41.0,22.03333333333333
2022-05-01 03:00:00+00:00,22.03333333333333,18.0,27.0,40.0,17.183333333333334
2022-05-01 04:00:00+00:00,17.183333333333334,14.0,21.0,37.0,13.35
2022-05-01 05:00:00+00:00,13.35,10.0,16.0,32.0,10.8
2022-05-01 06:00:00+00:00,10.8,9.0,12.0,29.0,10.166666666666666
2022-05-01 07:00:00+00:00,10.166666666666666,8.0,12.0,29.0,9.816666666666666
2022-05-01 08:00:00+00:00,9.816666666666666,8.0,12.0,24.0,9.733333333333333
2022-05-01 09:00:00+00:00,9.733333333333333,7.0,13.0,19.0,9.15
2022-05-01 10:00:00+00:00,9.15,7.0,11.0,20.0,9.283333333333331
2022-05-01 11:00:00+00:00,9.283333333333331,8.0,12.0,16.0,8.7
2022-05-01 12:00:00+00:00,8.7,6.0,11.0,15.0,7.716666666666667
2022-05-01 13:00:00+00:00,7.716666666666667,6.0,10.0,14.0,5.816666666666666
2022-05-01 14:00:00+00:00,5.816666666666666,3.0,7.0,15.0,4.85
2022-05-01 15:00:00+00:00,4.85,2.0,7.0,16.0,4.016666666666667
2022-05-01 16:00:00+00:00,4.016666666666667,3.0,6.0,22.0,6.1
2022-05-01 17:00:00+00:00,6.1,4.0,9.0,19.0,8.433333333333334
2022-05-01 18:00:00+00:00,8.433333333333334,6.0,11.0,18.0,10.316666666666666
2022-05-01 19:00:00+00:00,10.316666666666666,7.0,13.0,19.0,13.283333333333331
2022-05-01 20:00:00+00:00,13.283333333333331,11.0,16.0,22.0,15.633333333333333
2022-05-01 21:00:00+00:00,15.633333333333333,12.0,19.0,22.0,17.866666666666667
2022-05-01 22:00:00+00:00,17.866666666666667,16.0,21.0,26.0,19.016666666666666
2022-05-01 23:00:00+00:00,19.016666666666666,17.0,22.0,28.0,21.35
2022-05-02 00:00:00+00:00,21.35,18.0,25.0,32.0,23.366666666666667
2022-05-02 01:00:00+00:00,23.366666666666667,20.0,26.0,35.0,24.3
2022-05-02 02:00:00+00:00,24.3,22.0,27.0,37.0,25.116666666666667
2022-05-02 03:00:00+00:00,25.116666666666667,22.0,28.0,39.0,26.5
2022-05-02 04:00:00+00:00,26.5,23.0,30.0,39.0,26.866666666666667
2022-05-02 05:00:00+00:00,26.866666666666667,25.0,29.0,39.0,28.73333333333333
2022-05-02 06:00:00+00:00,28.73333333333333,25.0,34.0,29.0,44.81666666666667
2022-05-02 07:00:00+00:00,44.81666666666667,31.0,67.0,20.0,45.016666666666666
