time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max
2022-05-01 00:00:00+00:00,396.1666666666667,386.0,405.0,38.0,38.0,38.0,51.7,59.0,69.0,18.08333333333333,18.0,18.1,25.883333333333333,25.0,27.0
2022-05-01 01:00:00+00:00,397.4166666666667,387.0,404.0,38.0,38.0,38.0,51.7,55.0,66.0,18.0,18.0,18.0,26.883333333333333,25.0,29.0
2022-05-01 02:00:00+00:00,398.2166666666666,392.0,407.0,37.06666666666667,36.0,38.0,51.7,41.0,61.0,17.941666666666666,17.9,18.0,27.08333333333333,25.0,29.0
2022-05-01 03:00:00+00:00,397.75,385.0,407.0,36.0,36.0,36.0,39.05,35.0,46.0,17.894999999999996,17.8,17.9,25.116666666666667,24.0,27.0
2022-05-01 04:00:00+00:00,396.6666666666667,389.0,407.0,35.38333333333333,35.0,36.0,33.166666666666664,29.0,37.0,17.8,17.8,17.8,23.45,22.0,25.0
2022-05-01 05:00:00+00:00,395.1333333333333,386.0,403.0,35.0,35.0,35.0,25.516666666666666,19.0,31.0,17.73,17.7,17.8,21.716666666666665,20.0,23.0
2022-05-01 06:00:00+00:00,391.4166666666667,383.0,400.0,35.0,35.0,35.0,20.9,17.0,25.0,17.746666666666666,17.7,17.8,18.45,14.0,21.0
2022-05-01 07:00:00+00:00,387.01666666666665,378.0,399.0,35.0,35.0,35.0,20.2,15.0,23.0,17.889999999999997,17.8,18.0,21.33333333333333,14.0,27.0
2022-05-01 08:00:00+00:00,384.01666666666665,374.0,393.0,35.0,35.0,35.0,17.1,14.0,22.0,18.0,18.0,18.0,23.75,16.0,29.0
2022-05-01 09:00:00+00:00,383.05,374.0,393.0,35.0,35.0,35.0,16.45,13.0,20.0,18.086666666666662,18.0,18.1,17.683333333333334,15.0,20.0
2022-05-01 10:00:00+00:00,380.7166666666666,372.0,388.0,33.86666666666667,33.0,35.0,15.25,11.0,21.0,18.168333333333333,18.1,18.2,15.066666666666666,10.0,18.0
2022-05-01 11:00:00+00:00,377.6833333333333,369.0,386.0,32.21666666666667,31.0,33.0,16.883333333333333,13.0,21.0,18.27,18.2,18.3,11.166666666666666,10.0,14.0
2022-05-01 12:00:00+00:00,373.6666666666667,363.0,383.0,30.28333333333333,29.0,31.0,15.083333333333334,11.0,19.0,18.3,18.3,18.3,11.166666666666666,10.0,14.0
2022-05-01 13:00:00+00:00,368.25,359.0,381.0,29.216666666666665,28.0,30.0,13.7,11.0,17.0,18.30166666666667,18.3,18.4,9.35,8.0,11.0
2022-05-01 14:00:00+00:00,366.8666666666667,359.0,376.0,28.366666666666667,28.0,29.0,10.783333333333331,6.0,15.0,18.385,18.3,18.4,8.75,7.0,10.0
2022-05-01 15:00:00+00:00,367.5,357.0,379.0,27.98333333333333,27.0,29.0,9.366666666666667,6.0,13.0,18.438333333333333,18.4,18.5,11.533333333333331,9.0,15.0
2022-05-01 16:00:00+00:00,366.8833333333333,357.0,376.0,27.98333333333333,27.0,28.0,9.016666666666667,7.0,12.0,18.58333333333333,18.5,18.6,15.716666666666669,14.0,17.0
2022-05-01 17:00:00+00:00,367.4166666666667,360.0,378.0,28.116666666666667,28.0,29.0,9.666666666666666,6.0,13.0,18.49,18.4,18.6,15.716666666666669,14.0,18.0
2022-05-01 18:00:00+00:00,368.15,359.0,376.0,29.016666666666666,28.0,30.0,12.016666666666667,9.0,17.0,18.25333333333333,18.1,18.4,14.816666666666666,13.0,18.0
2022-05-01 19:00:00+00:00,370.55,362.0,380.0,30.23333333333333,29.0,31.0,14.35,11.0,18.0,18.048333333333336,18.0,18.1,19.78333333333333,17.0,22.0
2022-05-01 20:00:00+00:00,372.75,367.0,379.0,31.416666666666668,31.0,32.0,17.116666666666667,14.0,20.0,17.953333333333333,17.9,18.0,22.0,20.0,23.0
2022-05-01 21:00:00+00:00,372.0,362.0,381.0,32.56666666666667,32.0,33.0,20.25,16.0,26.0,17.855,17.8,17.9,25.0,23.0,28.0
2022-05-01 22:00:00+00:00,373.1333333333333,365.0,381.0,33.65,33.0,34.0,23.08333333333333,17.0,27.0,17.8,17.8,17.8,29.1,26.0,33.0
2022-05-01 23:00:00+00:00,373.73333333333335,369.0,381.0,34.583333333333336,34.0,35.0,26.383333333333333,20.0,32.0,17.73,17.7,17.8,31.316666666666663,30.0,33.0
2022-05-02 00:00:00+00:00,376.56666666666666,368.0,383.0,35.3,35.0,36.0,30.03333333333333,25.0,35.0,17.7,17.7,17.7,32.28333333333333,30.0,35.0
2022-05-02 01:00:00+00:00,377.6333333333333,367.0,386.0,36.0,36.0,36.0,33.083333333333336,26.0,39.0,17.615000000000002,17.6,17.7,34.016666666666666,32.0,36.0
2022-05-02 02:00:00+00:00,378.73333333333335,369.0,386.0,36.73333333333333,36.0,37.0,34.46666666666667,30.0,39.0,17.583333333333332,17.5,17.6,34.56666666666667,33.0,38.0
2022-05-02 03:00:00+00:00,381.76666666666665,371.0,393.0,37.0,37.0,37.0,37.73333333333333,32.0,43.0,17.5,17.5,17.5,34.11666666666667,32.0,37.0
2022-05-02 04:00:00+00:00,383.2166666666666,374.0,392.0,37.8,37.0,38.0,39.41666666666666,35.0,48.0,17.490000000000002,17.4,17.5,32.63333333333333,30.0,34.0
2022-05-02 05:00:00+00:00,390.6833333333333,381.0,404.0,38.0,38.0,38.0,41.25,37.0,50.0,17.421666666666667,17.4,17.5,30.066666666666663,27.0,33.0
2022-05-02 06:00:00+00:00,398.4166666666667,387.0,407.0,38.03333333333333,38.0,39.0,43.5,34.0,54.0,17.4,17.4,17.4,27.933333333333334,25.0,32.0
2022-05-02 07:00:00+00:00,402.15,392.0,413.0,38.63333333333333,38.0,39.0,56.083333333333336,42.0,72.0,17.496666666666666,17.4,17.5,28.883333333333333,22.0,37.0
2022-05-02 08:00:00+00:00,598.9666666666667,403.0,910.0,40.15,38.0,42.0,51.34583333333333,67.0,116.0,17.683333333333334,17.5,18.3,25.683333333333334,14.0,44.0
2022-05-02 09:00:00+00:00,656.2777777777778,818.0,1107.0,39.6,39.0,42.0,46.608333333333334,77.0,108.0,19.02833333333333,18.4,19.6,54.75,37.0,79.0
2022-05-02 10:00:00+00:00,713.5888888888888,752.0,1129.0,36.11666666666667,33.0,38.0,41.87083333333334,43.0,82.0,19.74333333333333,19.1,20.0,58.516666666666666,33.0,81.0
2022-05-02 11:00:00+00:00,770.9,528.0,1145.0,31.616666666666667,29.0,34.0,37.13333333333333,28.0,46.0,19.0,18.6,19.6,30.73333333333333,15.0,62.0
2022-05-02 12:00:00+00:00,683.3166666666666,804.0,1418.0,31.23333333333333,29.0,33.0,24.933333333333334,20.0,31.0,19.751666666666665,19.3,20.0,74.73333333333333,59.0,98.0
2022-05-02 13:00:00+00:00,595.7333333333333,461.0,773.0,28.466666666666665,27.0,29.0,25.566666666666663,21.0,30.0,18.955,18.7,19.3,62.31666666666667,16.0,133.0
2022-05-02 14:00:00+00:00,584.9388888888889,463.0,1342.0,28.9,27.0,30.0,23.266666666666666,17.0,29.0,19.526666666666664,18.7,20.5,80.76666666666667,13.0,168.0
2022-05-02 15:00:00+00:00,574.1444444444445,703.0,1418.0,28.95,28.0,30.0,22.433333333333334,19.0,27.0,19.771666666666665,19.1,20.5,147.08333333333334,55.0,262.0
2022-05-02 16:00:00+00:00,563.35,488.0,719.0,27.58333333333333,27.0,28.0,21.966666666666665,18.0,25.0,18.883333333333333,18.8,19.1,30.566666666666663,22.0,54.0
2022-05-02 17:00:00+00:00,457.4166666666667,434.0,496.0,27.8,27.0,28.0,23.3,20.0,27.0,18.673333333333336,18.6,18.8,20.25,17.0,23.0
2022-05-02 18:00:00+00:00,422.05,412.0,436.0,28.45,28.0,29.0,24.183333333333334,20.0,31.0,18.441666666666663,18.3,18.6,20.933333333333334,19.0,24.0
2022-05-02 19:00:00+00:00,416.53333333333336,407.0,425.0,29.0,29.0,29.0,22.4,20.0,26.0,18.19833333333333,18.1,18.3,26.766666666666666,23.0,29.0
2022-05-02 20:00:00+00:00,409.8,397.0,423.0,29.03333333333333,29.0,30.0,23.28333333333333,19.0,27.0,18.005,17.9,18.1,25.916666666666668,24.0,29.0
2022-05-02 21:00:00+00:00,409.01666666666665,398.0,418.0,30.0,30.0,30.0,26.03333333333333,23.0,30.0,17.883333333333333,17.8,17.9,25.73333333333333,24.0,27.0
2022-05-02 22:00:00+00:00,407.9333333333333,397.0,416.0,30.8,30.0,31.0,26.633333333333333,23.0,31.0,17.803333333333335,17.8,17.9,27.433333333333334,26.0,30.0
2022-05-02 23:00:00+00:00,403.25,395.0,415.0,31.0,31.0,31.0,26.916666666666668,23.0,31.0,17.728333333333335,17.7,17.8,28.25,26.0,30.0
2022-05-03 00:00:00+00:00,400.8,392.0,410.0,31.23333333333333,31.0,32.0,28.616666666666667,25.0,32.0,17.653333333333332,17.6,17.7,24.35,23.0,27.0
2022-05-03 01:00:00+00:00,400.78333333333336,393.0,408.0,32.0,32.0,32.0,30.116666666666667,27.0,34.0,17.583333333333332,17.5,17.6,21.9,21.0,23.0
2022-05-03 02:00:00+00:00,405.65,395.0,418.0,32.0,32.0,32.0,30.916666666666668,27.0,35.0,17.46333333333333,17.4,17.5,22.183333333333334,21.0,23.0
2022-05-03 03:00:00+00:00,411.1833333333333,404.0,418.0,32.0,32.0,32.0,31.616666666666667,29.0,34.0,17.37333333333333,17.3,17.5,22.85,22.0,23.0
2022-05-03 04:00:00+00:00,410.26666666666665,399.0,420.0,32.0,32.0,32.0,35.333333333333336,30.0,40.0,17.265,17.2,17.3,23.25,23.0,24.0
2022-05-03 05:00:00+00:00,410.4,399.0,418.0,32.95,32.0,33.0,40.083333333333336,34.0,46.0,17.2,17.2,17.2,22.916666666666668,22.0,24.0
2022-05-03 06:00:00+00:00,414.3333333333333,407.0,422.0,33.0,33.0,33.0,41.23333333333333,37.0,46.0,17.208333333333332,17.2,17.3,23.6,22.0,25.0
2022-05-03 07:00:00+00:00,415.3833333333333,403.0,426.0,33.55,33.0,34.0,38.31666666666667,34.0,44.0,17.41,17.3,17.5,24.15,21.0,29.0
2022-05-03 08:00:00+00:00,617.5333333333333,402.0,1013.0,35.583333333333336,34.0,37.0,36.5,32.0,42.0,17.654999999999998,17.4,18.4,69.3,9.0,337.0
2022-05-03 09:00:00+00:00,599.8111111111111,998.0,1694.0,36.8,34.0,38.0,29.9,25.0,39.0,19.26833333333333,18.5,19.8,142.0,87.0,183.0
2022-05-03 10:00:00+00:00,582.0888888888888,580.0,1409.0,31.133333333333333,29.0,34.0,28.933333333333334,25.0,33.0,18.686666666666667,18.3,19.4,37.36666666666667,15.0,83.0
2022-05-03 11:00:00+00:00,564.3666666666667,1109.0,1826.0,31.9,30.0,34.0,25.516666666666666,21.0,31.0,19.76333333333333,19.2,20.1,93.05,70.0,113.0
2022-05-03 12:00:00+00:00,546.6444444444444,740.0,1114.0,29.83333333333333,28.0,31.0,25.1,20.0,29.0,19.28,18.9,19.9,49.016666666666666,30.0,71.0
2022-05-03 13:00:00+00:00,528.9222222222222,767.0,1187.0,29.25,28.0,30.0,26.633333333333333,23.0,31.0,19.585,19.0,20.5,63.96666666666667,47.0,80.0
2022-05-03 14:00:00+00:00,511.20000000000005,1083.0,1201.0,27.516666666666666,27.0,29.0,24.316666666666663,20.0,28.0,20.48333333333333,20.3,20.7,51.66666666666666,44.0,68.0
2022-05-03 15:00:00+00:00,493.4777777777778,1061.0,1849.0,28.416666666666668,27.0,30.0,19.933333333333334,11.0,30.0,21.0,20.5,21.6,133.18333333333334,47.0,603.0
2022-05-03 16:00:00+00:00,475.7555555555556,528.0,1850.0,27.116666666666667,25.0,30.0,16.85,12.0,21.0,20.06,19.3,21.5,49.93333333333333,14.0,123.0
2022-05-03 17:00:00+00:00,458.03333333333336,416.0,533.0,25.03333333333333,25.0,26.0,16.65,14.0,21.0,18.99833333333333,18.8,19.3,11.466666666666669,8.0,16.0
2022-05-03 18:00:00+00:00,409.7166666666666,399.0,419.0,25.23333333333333,25.0,26.0,15.816666666666666,11.0,18.0,18.61833333333333,18.5,18.8,10.816666666666666,8.0,15.0
2022-05-03 19:00:00+00:00,414.95,404.0,425.0,26.9,26.0,28.0,14.433333333333334,12.0,17.0,18.328333333333333,18.2,18.5,17.25,14.0,21.0
2022-05-03 20:00:00+00:00,424.31666666666666,413.0,432.0,28.25,28.0,29.0,12.883333333333333,10.0,17.0,18.093333333333337,18.0,18.2,28.016666666666666,20.0,37.0
2022-05-03 21:00:00+00:00,425.6833333333333,418.0,432.0,29.0,29.0,29.0,11.516666666666667,9.0,14.0,17.936666666666667,17.9,18.0,39.38333333333333,36.0,44.0
2022-05-03 22:00:00+00:00,421.55,414.0,430.0,29.883333333333333,29.0,30.0,11.566666666666666,10.0,14.0,17.826666666666664,17.8,17.9,44.05,40.0,48.0
2022-05-03 23:00:00+00:00,421.3833333333333,413.0,431.0,30.0,30.0,30.0,12.383333333333333,10.0,14.0,17.76833333333333,17.7,17.8,45.78333333333333,43.0,49.0
