time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max,Y_pm10
2022-05-01 00:00:00+00:00,337.7037037037037,331.0,347.0,38.48148148148148,38.0,39.0,42.388888888888886,39.0,48.0,19.564814814814813,19.5,19.6,108.79629629629628,105.0,114.0,41.65
2022-05-01 01:00:00+00:00,339.06666666666666,328.0,351.0,38.016666666666666,38.0,39.0,41.65,38.0,46.0,19.49833333333333,19.4,19.5,111.63333333333334,107.0,116.0,37.56666666666667
2022-05-01 02:00:00+00:00,341.71666666666664,331.0,353.0,38.0,38.0,38.0,37.56666666666667,32.0,44.0,19.4,19.4,19.4,110.33333333333331,107.0,114.0,29.566666666666663
2022-05-01 03:00:00+00:00,343.2,332.0,352.0,37.23333333333333,37.0,38.0,29.566666666666663,25.0,36.0,19.313333333333333,19.3,19.4,105.68333333333334,103.0,110.0,23.966666666666665
2022-05-01 04:00:00+00:00,343.4,336.0,353.0,37.0,37.0,37.0,23.966666666666665,19.0,29.0,19.23333333333333,19.2,19.3,102.9,101.0,105.0,19.2
2022-05-01 05:00:00+00:00,342.6666666666667,335.0,351.0,37.0,37.0,37.0,19.2,13.0,23.0,19.2,19.2,19.2,97.81666666666666,95.0,101.0,15.5
2022-05-01 06:00:00+00:00,339.31666666666666,333.0,347.0,37.0,37.0,37.0,15.5,13.0,19.0,19.183333333333334,19.1,19.2,92.46666666666668,89.0,99.0,13.333333333333334
2022-05-01 07:00:00+00:00,335.15,324.0,345.0,37.0,37.0,37.0,13.333333333333334,10.0,17.0,19.35833333333333,19.2,19.5,89.58333333333333,77.0,103.0,13.4
2022-05-01 08:00:00+00:00,334.8333333333333,327.0,343.0,36.25,36.0,37.0,13.4,10.0,17.0,19.565,19.5,19.6,76.63333333333334,72.0,83.0,12.555555555555555
2022-05-01 09:00:00+00:00,331.22222222222223,323.0,339.0,36.0,36.0,36.0,12.555555555555555,10.0,15.0,19.614814814814817,19.6,19.7,73.07407407407408,62.0,85.0,11.6
2022-05-01 10:00:00+00:00,330.76666666666665,321.0,341.0,35.666666666666664,35.0,36.0,11.6,8.0,15.0,19.68,19.6,19.7,60.23333333333333,58.0,65.0,10.966666666666669
2022-05-01 11:00:00+00:00,327.6666666666667,319.0,334.0,34.85,34.0,35.0,10.966666666666669,9.0,14.0,19.706666666666663,19.7,19.8,58.516666666666666,56.0,61.0,10.216666666666669
2022-05-01 12:00:00+00:00,324.51666666666665,315.0,334.0,33.53333333333333,33.0,34.0,10.216666666666669,8.0,13.0,19.791666666666668,19.7,19.9,60.18333333333333,56.0,66.0,9.433333333333334
2022-05-01 13:00:00+00:00,319.46666666666664,311.0,333.0,32.733333333333334,32.0,33.0,9.433333333333334,7.0,11.0,19.8,19.8,19.8,58.833333333333336,57.0,63.0,7.75
2022-05-01 14:00:00+00:00,316.43333333333334,307.0,326.0,31.98333333333333,31.0,32.0,7.75,6.0,11.0,19.811666666666667,19.8,19.9,57.71666666666667,55.0,60.0,6.433333333333334
2022-05-01 15:00:00+00:00,317.26666666666665,308.0,329.0,31.266666666666666,31.0,32.0,6.433333333333334,4.0,8.0,19.9,19.9,19.9,55.3,54.0,58.0,5.466666666666667
2022-05-01 16:00:00+00:00,316.0,308.0,326.0,31.0,31.0,31.0,5.466666666666667,3.0,8.0,20.03166666666667,19.9,20.1,54.86666666666667,53.0,57.0,5.4
2022-05-01 17:00:00+00:00,315.28333333333336,309.0,324.0,31.0,31.0,31.0,5.4,4.0,8.0,19.945,19.8,20.0,63.88333333333333,56.0,73.0,6.05
2022-05-01 18:00:00+00:00,316.4833333333333,305.0,327.0,31.016666666666666,31.0,32.0,6.05,4.0,8.0,19.74833333333333,19.7,19.8,73.61666666666666,64.0,79.0,9.416666666666666
2022-05-01 19:00:00+00:00,319.55,309.0,326.0,31.85,31.0,32.0,9.416666666666666,6.0,13.0,19.615,19.5,19.7,73.3,66.0,79.0,10.983333333333333
2022-05-01 20:00:00+00:00,318.51666666666665,311.0,329.0,33.016666666666666,33.0,34.0,10.983333333333333,9.0,14.0,19.45833333333333,19.4,19.5,88.48333333333333,77.0,97.0,13.0
2022-05-01 21:00:00+00:00,319.3666666666667,310.0,332.0,34.0,34.0,34.0,13.0,11.0,16.0,19.345,19.3,19.4,98.23333333333332,93.0,103.0,15.283333333333331
2022-05-01 22:00:00+00:00,320.05,309.0,328.0,34.93333333333333,34.0,35.0,15.283333333333331,12.0,20.0,19.255,19.2,19.3,101.63333333333334,97.0,106.0,16.966666666666665
2022-05-01 23:00:00+00:00,321.6,311.0,333.0,35.7,35.0,36.0,16.966666666666665,13.0,20.0,19.2,19.2,19.2,103.43333333333334,100.0,107.0,20.25
2022-05-02 00:00:00+00:00,322.8333333333333,313.0,335.0,36.35,36.0,37.0,20.25,17.0,25.0,19.13833333333333,19.1,19.2,102.01666666666668,100.0,105.0,22.98333333333333
2022-05-02 01:00:00+00:00,326.18333333333334,319.0,337.0,37.0,37.0,37.0,22.98333333333333,18.0,30.0,19.1,19.1,19.1,97.98333333333332,97.0,100.0,25.516666666666666
2022-05-02 02:00:00+00:00,327.0,318.0,335.0,37.7,37.0,38.0,25.516666666666666,22.0,30.0,19.041666666666668,19.0,19.1,95.45,92.0,100.0,29.03333333333333
2022-05-02 03:00:00+00:00,329.1333333333333,321.0,341.0,38.06666666666667,38.0,39.0,29.03333333333333,25.0,33.0,18.951666666666664,18.9,19.0,92.26666666666668,90.0,95.0,30.85
2022-05-02 04:00:00+00:00,331.25,324.0,342.0,39.0,39.0,39.0,30.85,26.0,36.0,18.9,18.9,18.9,89.75,87.0,92.0,32.483333333333334
2022-05-02 05:00:00+00:00,335.5833333333333,327.0,343.0,39.0,39.0,39.0,32.483333333333334,28.0,39.0,18.815,18.8,18.9,86.38333333333334,84.0,88.0,32.583333333333336
2022-05-02 06:00:00+00:00,341.71666666666664,332.0,351.0,39.0,39.0,39.0,32.583333333333336,29.0,38.0,18.816666666666663,18.8,18.9,84.41666666666667,83.0,87.0,35.3
2022-05-02 07:00:00+00:00,348.45,335.0,414.0,39.03333333333333,39.0,40.0,35.3,30.0,57.0,18.94833333333333,18.9,19.1,85.55,70.0,95.0,31.716666666666665
2022-05-02 08:00:00+00:00,590.2333333333333,435.0,852.0,41.583333333333336,40.0,44.0,31.716666666666665,51.0,101.0,19.211666666666662,19.0,19.5,54.06666666666667,28.0,78.0,28.133333333333333
2022-05-02 09:00:00+00:00,801.3666666666667,418.0,1080.0,40.766666666666666,38.0,44.0,28.133333333333333,61.0,108.0,20.296666666666667,19.1,21.4,82.75,19.0,149.0,24.55
2022-05-02 10:00:00+00:00,534.1333333333333,341.0,1018.0,35.75,32.0,39.0,24.55,31.0,91.0,18.291666666666668,17.2,19.8,22.45,4.0,61.0,20.966666666666665
2022-05-02 11:00:00+00:00,541.1866666666666,1010.0,1652.0,34.6,34.0,35.0,20.966666666666665,14.0,34.0,21.035,19.9,21.8,360.06666666666666,63.0,652.0,13.516666666666667
2022-05-02 12:00:00+00:00,548.24,823.0,1811.0,32.9,30.0,35.0,13.516666666666667,9.0,18.0,21.84,21.0,22.2,355.20833333333337,621.0,6000.0,18.8
2022-05-02 13:00:00+00:00,555.2933333333333,585.0,1277.0,30.266666666666666,27.0,32.0,18.8,14.0,27.0,21.27,20.7,22.0,350.35,165.0,664.0,15.083333333333334
2022-05-02 14:00:00+00:00,562.3466666666667,965.0,1457.0,30.05,28.0,32.0,15.083333333333334,11.0,20.0,22.141666666666666,21.9,22.4,375.3333333333333,190.0,692.0,24.016666666666666
2022-05-02 15:00:00+00:00,569.4,370.0,1138.0,25.08333333333333,22.0,29.0,24.016666666666666,15.0,31.0,20.955,20.5,22.2,184.31666666666663,0.0,544.0,20.06896551724138
2022-05-02 16:00:00+00:00,425.7931034482759,410.0,455.0,26.96551724137931,26.0,28.0,20.06896551724138,17.0,24.0,20.367241379310343,20.2,20.5,126.89655172413794,117.0,142.0,18.65
2022-05-02 17:00:00+00:00,410.26666666666665,397.0,428.0,28.7,28.0,29.0,18.65,15.0,22.0,20.1,20.0,20.2,143.43333333333334,126.0,167.0,16.283333333333335
2022-05-02 18:00:00+00:00,401.4666666666666,388.0,409.0,29.75,29.0,30.0,16.283333333333335,13.0,19.0,19.87833333333333,19.8,20.0,161.05,146.0,172.0,14.4
2022-05-02 19:00:00+00:00,394.85,383.0,403.0,30.466666666666665,30.0,31.0,14.4,11.0,16.0,19.673333333333336,19.6,19.8,173.26666666666668,161.0,181.0,12.833333333333334
2022-05-02 20:00:00+00:00,388.05,377.0,397.0,31.1,31.0,32.0,12.833333333333334,10.0,15.0,19.496666666666663,19.4,19.6,192.3333333333333,180.0,202.0,12.133333333333333
2022-05-02 21:00:00+00:00,383.2166666666666,374.0,394.0,32.0,32.0,32.0,12.133333333333333,10.0,15.0,19.346666666666668,19.3,19.4,200.9833333333333,193.0,207.0,12.183333333333334
2022-05-02 22:00:00+00:00,376.35,367.0,386.0,32.016666666666666,32.0,33.0,12.183333333333334,10.0,15.0,19.238333333333333,19.2,19.3,199.86666666666667,190.0,207.0,13.35
2022-05-02 23:00:00+00:00,369.75,357.0,385.0,32.95,32.0,33.0,13.35,11.0,15.0,19.185,19.1,19.3,194.51666666666668,189.0,198.0,13.5
2022-05-03 00:00:00+00:00,364.28333333333336,354.0,375.0,33.0,33.0,33.0,13.5,12.0,16.0,19.1,19.1,19.1,195.21666666666667,189.0,199.0,13.25
2022-05-03 01:00:00+00:00,358.93333333333334,349.0,369.0,33.06666666666667,33.0,34.0,13.25,12.0,15.0,19.005,19.0,19.1,197.86666666666667,192.0,203.0,13.066666666666666
2022-05-03 02:00:00+00:00,358.53333333333336,351.0,366.0,34.0,34.0,34.0,13.066666666666666,11.0,16.0,18.956666666666663,18.9,19.0,201.05,197.0,204.0,12.933333333333334
2022-05-03 03:00:00+00:00,356.45,344.0,366.0,34.0,34.0,34.0,12.933333333333334,12.0,16.0,18.876666666666665,18.8,18.9,197.85,192.0,204.0,14.15
2022-05-03 04:00:00+00:00,354.35,349.0,361.0,34.0,34.0,34.0,14.15,12.0,17.0,18.8,18.8,18.8,192.6,189.0,196.0,16.05
2022-05-03 05:00:00+00:00,352.8333333333333,344.0,360.0,34.0,34.0,34.0,16.05,13.0,19.0,18.73,18.7,18.8,186.63333333333333,181.0,194.0,16.55
2022-05-03 06:00:00+00:00,354.1666666666667,345.0,364.0,34.71666666666667,34.0,35.0,16.55,14.0,19.0,18.74333333333333,18.7,18.9,185.1833333333333,179.0,189.0,16.15
2022-05-03 07:00:00+00:00,354.85,345.0,384.0,34.516666666666666,34.0,36.0,16.15,14.0,18.0,18.991666666666667,18.9,19.1,178.45,151.0,191.0,28.25
2022-05-03 08:00:00+00:00,528.6833333333333,395.0,736.0,36.16666666666666,35.0,38.0,28.25,18.0,36.0,19.17833333333333,18.8,19.6,77.68333333333334,28.0,215.0,30.433333333333334
2022-05-03 09:00:00+00:00,537.5833333333334,408.0,840.0,34.15,33.0,35.0,30.433333333333334,25.0,35.0,18.725,18.3,19.7,22.4,14.0,48.0,27.716666666666665
2022-05-03 10:00:00+00:00,635.0833333333334,432.0,831.0,29.73333333333333,28.0,33.0,27.716666666666665,24.0,31.0,20.133333333333333,19.6,20.6,54.86666666666667,16.0,336.0,28.116666666666667
2022-05-03 11:00:00+00:00,599.15,411.0,913.0,28.316666666666663,26.0,30.0,28.116666666666667,22.0,34.0,20.00333333333333,19.5,20.8,219.11666666666667,16.0,1351.0,21.016666666666666
2022-05-03 12:00:00+00:00,638.3266666666666,908.0,1142.0,29.716666666666665,29.0,30.0,21.016666666666666,18.0,25.0,21.256666666666668,20.8,21.8,140.0,115.0,168.0,20.516666666666666
2022-05-03 13:00:00+00:00,677.5033333333333,583.0,1027.0,29.05,27.0,30.0,20.516666666666666,17.0,25.0,20.72,20.3,21.1,124.08333333333331,72.0,170.0,19.95
2022-05-03 14:00:00+00:00,716.68,543.0,1624.0,29.58333333333333,27.0,32.0,19.95,15.0,24.0,21.26,20.3,22.2,140.35,58.0,210.0,17.95
2022-05-03 15:00:00+00:00,755.8566666666666,791.0,1639.0,29.866666666666667,28.0,32.0,17.95,15.0,20.0,21.37833333333333,20.8,22.4,139.2,76.0,214.0,22.03333333333333
2022-05-03 16:00:00+00:00,795.0333333333333,720.0,1057.0,28.95,28.0,30.0,22.03333333333333,16.0,32.0,20.695,20.4,21.0,209.28333333333333,73.0,355.0,15.35593220338983
2022-05-03 17:00:00+00:00,634.5084745762712,572.0,752.0,29.0,28.0,30.0,15.35593220338983,13.0,20.0,20.333898305084748,20.2,20.5,130.11864406779662,97.0,211.0,14.516666666666667
2022-05-03 18:00:00+00:00,543.05,497.0,603.0,29.016666666666666,29.0,30.0,14.516666666666667,12.0,17.0,20.041666666666668,19.9,20.2,107.83333333333331,93.0,124.0,14.2
2022-05-03 19:00:00+00:00,484.3666666666667,431.0,516.0,29.6,29.0,30.0,14.2,12.0,17.0,19.76833333333333,19.7,19.9,111.06666666666666,89.0,130.0,12.666666666666666
2022-05-03 20:00:00+00:00,436.3,412.0,476.0,30.066666666666663,30.0,31.0,12.666666666666666,11.0,15.0,19.621666666666663,19.6,19.7,116.43333333333334,81.0,153.0,11.983333333333333
2022-05-03 21:00:00+00:00,400.25,379.0,429.0,30.466666666666665,30.0,31.0,11.983333333333333,10.0,14.0,19.55,19.5,19.6,100.11666666666666,84.0,133.0,12.683333333333334
2022-05-03 22:00:00+00:00,377.3333333333333,364.0,389.0,31.0,31.0,31.0,12.683333333333334,11.0,16.0,19.436666666666667,19.4,19.5,89.95,82.0,105.0,14.15
