time,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10,in_pm10_Seasonal_Trend
2022-05-01 00:00:00+00:00,48.0,59.0,39.0,51.28333333333333,48.805637141938924
2022-05-01 01:00:00+00:00,47.0,54.0,42.0,37.0,43.195640990417296
2022-05-01 02:00:00+00:00,29.0,48.0,41.0,29.45,37.58461885911649
2022-05-01 03:00:00+00:00,26.0,33.0,39.0,23.166666666666668,32.19277755207426
2022-05-01 04:00:00+00:00,19.0,28.0,35.0,17.583333333333332,26.977823438258266
2022-05-01 05:00:00+00:00,15.0,22.0,29.0,15.133333333333333,21.46127737654898
2022-05-01 06:00:00+00:00,14.0,18.0,25.0,13.95,18.163177022598028
2022-05-01 07:00:00+00:00,12.0,17.0,25.0,13.4,15.46039904670088
2022-05-01 08:00:00+00:00,11.0,16.0,22.0,13.633333333333333,13.774212418988768
2022-05-01 09:00:00+00:00,11.0,16.0,21.0,11.216666666666669,12.898904573402241
2022-05-01 10:00:00+00:00,9.0,13.0,19.0,12.15,12.373729933026642
2022-05-01 11:00:00+00:00,10.0,14.0,16.0,12.25,11.76353772397255
2022-05-01 12:00:00+00:00,10.0,15.0,12.0,10.716666666666669,10.720801186072789
2022-05-01 13:00:00+00:00,7.0,14.0,9.0,7.7,9.922700832121842
2022-05-01 14:00:00+00:00,6.0,10.0,11.0,6.833333333333333,9.562779999081833
2022-05-01 15:00:00+00:00,6.0,8.0,10.0,7.766666666666667,9.46945051422686
2022-05-01 16:00:00+00:00,6.0,10.0,10.0,9.383333333333333,9.815571240068905
2022-05-01 17:00:00+00:00,7.0,12.0,11.0,12.283333333333331,11.126110885407593
2022-05-01 18:00:00+00:00,10.0,15.0,11.0,15.466666666666669,13.532585343020168
2022-05-01 19:00:00+00:00,12.0,19.0,14.0,19.15,16.187467852739456
2022-05-01 20:00:00+00:00,16.0,23.0,17.0,22.566666666666663,19.179843689264697
2022-05-01 21:00:00+00:00,18.0,27.0,21.0,26.15,22.215160951462778
2022-05-01 22:00:00+00:00,22.0,30.0,22.0,28.433333333333334,25.207545752322098
2022-05-01 23:00:00+00:00,26.0,32.0,23.0,31.316666666666663,27.984618859116527
2022-05-02 00:00:00+00:00,27.0,35.0,26.0,34.016666666666666,30.659444218740923
2022-05-02 01:00:00+00:00,30.0,38.0,30.0,35.7,33.23496629540112
2022-05-02 02:00:00+00:00,30.0,39.0,33.0,37.13333333333333,34.78270594797755
2022-05-02 03:00:00+00:00,34.0,40.0,35.0,38.61666666666667,36.234605594026604
2022-05-02 04:00:00+00:00,34.0,43.0,33.0,37.71666666666667,38.56039904670088
2022-05-02 05:00:00+00:00,34.0,41.0,34.0,38.31666666666667,40.16389495867131
2022-05-02 06:00:00+00:00,34.0,43.0,38.0,48.28333333333333,41.20366647816414
2022-05-02 07:00:00+00:00,41.0,57.0,36.0,46.02777777777778,41.93563469493141
2022-05-02 08:00:00+00:00,52.0,93.0,16.0,43.77222222222222,40.427823438258265
2022-05-02 09:00:00+00:00,51.0,80.0,70.0,41.516666666666666,37.40413451940612
2022-05-02 10:00:00+00:00,32.0,52.0,47.0,26.08333333333333,34.570319879740886
2022-05-02 11:00:00+00:00,18.0,36.0,23.0,17.283333333333335,29.51754190384373
2022-05-02 12:00:00+00:00,13.0,21.0,69.0,18.2,24.97262511740146
2022-05-02 13:00:00+00:00,14.0,23.0,37.0,13.6,21.02271409721176
2022-05-02 14:00:00+00:00,11.0,17.0,82.0,15.0,17.571348980645688
2022-05-02 15:00:00+00:00,12.0,18.0,10.0,16.916666666666668,16.401632962067787
2022-05-02 16:00:00+00:00,14.0,19.0,0.0,16.616666666666667,15.980324995596597
2022-05-02 17:00:00+00:00,14.0,19.0,16.0,15.916666666666666,15.779843689264698
2022-05-02 18:00:00+00:00,14.0,18.0,21.0,15.066666666666666,16.408018094319925
2022-05-02 19:00:00+00:00,13.0,17.0,30.0,16.516666666666666,16.900402895179244
2022-05-02 20:00:00+00:00,15.0,20.0,34.0,18.683333333333334,17.234618859116527
2022-05-02 21:00:00+00:00,16.0,22.0,38.0,19.23333333333333,17.94515850445521
2022-05-02 22:00:00+00:00,17.0,23.0,40.0,20.05,19.06353772397255
2022-05-02 23:00:00+00:00,18.0,21.0,37.0,20.85,20.018420233691838
2022-05-03 00:00:00+00:00,20.0,22.0,33.0,21.766666666666666,20.927462736883744
2022-05-03 01:00:00+00:00,19.0,25.0,34.0,22.48333333333333,21.90563714193897
2022-05-03 02:00:00+00:00,21.0,24.0,36.0,22.6,23.20992670470305
2022-05-03 03:00:00+00:00,21.0,25.0,39.0,26.216666666666665,24.503666478164146
2022-05-03 04:00:00+00:00,23.0,31.0,41.0,29.15,25.57372993302664
2022-05-03 05:00:00+00:00,27.0,31.0,42.0,29.9,26.577823438258264
2022-05-03 06:00:00+00:00,27.0,33.0,42.0,27.6,26.508896424168025
2022-05-03 07:00:00+00:00,25.0,31.0,17.0,26.816666666666663,26.24412940355041
2022-05-03 08:00:00+00:00,23.0,29.0,11.0,22.73333333333333,25.088970475272305
2022-05-03 09:00:00+00:00,19.0,28.0,24.0,20.466666666666665,23.162307657084
2022-05-03 10:00:00+00:00,18.0,23.0,52.0,18.816666666666663,21.286999811497473
2022-05-03 11:00:00+00:00,16.0,21.0,61.0,16.45,19.81658707588378
2022-05-03 12:00:00+00:00,14.0,19.0,70.0,17.566666666666666,18.537347247782073
2022-05-03 13:00:00+00:00,15.0,19.0,56.0,16.566666666666666,17.232705947977554
2022-05-03 14:00:00+00:00,14.0,19.0,48.0,15.883333333333333,16.160796070217078
2022-05-03 15:00:00+00:00,14.0,20.0,54.0,14.333333333333334,15.231827618129453
2022-05-03 16:00:00+00:00,10.0,18.0,23.0,12.683333333333334,14.700402895179243
2022-05-03 17:00:00+00:00,11.0,14.0,20.0,13.0,13.901285525783194
2022-05-03 18:00:00+00:00,11.0,14.0,17.0,13.516666666666667,13.526110885407594
2022-05-03 19:00:00+00:00,11.0,16.0,19.0,12.766666666666667,13.670680581115409
2022-05-03 20:00:00+00:00,11.0,15.0,24.0,13.2,13.820801186072789
2022-05-03 21:00:00+00:00,11.0,16.0,48.0,14.916666666666666,13.9298436892647
2022-05-03 22:00:00+00:00,13.0,17.0,51.0,16.116666666666667,13.793732380034212
2022-05-03 23:00:00+00:00,13.0,18.0,54.0,13.166666666666666,13.645640990417338
2022-05-04 00:00:00+00:00,11.0,16.0,45.0,12.733333333333333,13.663190287687955
2022-05-04 01:00:00+00:00,11.0,15.0,45.0,13.266666666666667,13.945158504455211
2022-05-04 02:00:00+00:00,11.0,15.0,48.0,13.683333333333334,14.120680581115407
2022-05-04 03:00:00+00:00,11.0,15.0,48.0,14.433333333333334,13.916039281310884
2022-05-04 04:00:00+00:00,13.0,17.0,43.0,14.166666666666666,14.517938927359937
2022-05-04 05:00:00+00:00,12.0,16.0,40.0,15.416666666666666,15.043732380034214
2022-05-04 06:00:00+00:00,13.0,17.0,41.0,17.1,15.114688609464958
2022-05-04 07:00:00+00:00,15.0,19.0,29.0,17.1,14.901285525783194
2022-05-04 08:00:00+00:00,14.0,19.0,31.0,14.55,15.180872790169499
2022-05-04 09:00:00+00:00,12.0,18.0,84.0,12.983333333333333,17.075442485877314
2022-05-04 10:00:00+00:00,11.0,15.0,138.0,15.65,19.94937261464422
2022-05-04 11:00:00+00:00,11.0,22.0,136.0,25.45,23.015557974978982
2022-05-04 12:00:00+00:00,19.0,35.0,88.0,36.266666666666666,25.90563714193897
2022-05-04 13:00:00+00:00,33.0,40.0,57.0,38.28333333333333,28.136117180893525
2022-05-04 14:00:00+00:00,33.0,44.0,95.0,38.016666666666666,29.756047430545095
2022-05-04 15:00:00+00:00,34.0,42.0,84.0,30.95,30.71420612350283
2022-05-04 16:00:00+00:00,27.0,36.0,64.0,25.116666666666667,30.37068058111541
2022-05-04 17:00:00+00:00,22.0,30.0,41.0,21.616666666666667,27.899372614644218
2022-05-04 18:00:00+00:00,20.0,24.0,40.0,21.066666666666663,24.898891308312315
2022-05-04 19:00:00+00:00,18.0,23.0,40.0,19.7,22.196113332415162
2022-05-04 20:00:00+00:00,17.0,22.0,42.0,17.0,20.855164799941143
2022-05-04 21:00:00+00:00,15.0,19.0,41.0,19.78333333333333,20.327476001973668
2022-05-04 22:00:00+00:00,17.0,23.0,42.0,22.35,20.371348980645685
2022-05-04 23:00:00+00:00,20.0,25.0,44.0,22.216666666666665,20.37544248587731
2022-05-05 00:00:00+00:00,20.0,25.0,48.0,21.183333333333334,19.97318213845374
2022-05-05 01:00:00+00:00,19.0,25.0,55.0,19.116666666666667,19.686986546407553
2022-05-05 02:00:00+00:00,17.0,21.0,54.0,17.616666666666667,18.986589522891354
2022-05-05 03:00:00+00:00,15.0,21.0,55.0,14.716666666666669,17.955164799941144
2022-05-05 04:00:00+00:00,13.0,17.0,52.0,15.566666666666666,16.68699981149748
2022-05-05 05:00:00+00:00,13.0,18.0,52.0,15.916666666666666,15.64515850445521
2022-05-05 06:00:00+00:00,15.0,18.0,56.0,14.133333333333333,14.861156771591597
2022-05-05 07:00:00+00:00,12.0,17.0,62.0,13.15,14.163658328929932
2022-05-05 08:00:00+00:00,10.0,15.0,70.0,11.65,14.248891308312318
2022-05-05 09:00:00+00:00,10.0,13.0,51.0,13.466666666666669,13.791351427653261
2022-05-05 10:00:00+00:00,11.0,16.0,26.0,15.033333333333331,13.02897432375067
2022-05-05 11:00:00+00:00,13.0,17.0,28.0,13.05,12.372714097211764
2022-05-05 12:00:00+00:00,11.0,17.0,38.0,11.366666666666667,12.097539456836163
2022-05-05 13:00:00+00:00,10.0,13.0,37.0,10.333333333333334,12.268299628734454
2022-05-05 14:00:00+00:00,8.0,12.0,48.0,10.483333333333333,11.873182138453739
