time,in_pm10,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10
2021-01-01 00:00:00+00:00,15.466666666666669,14.0,17.0,363.0,13.6
2021-01-01 01:00:00+00:00,13.6,13.0,16.0,371.0,12.566666666666666
2021-01-01 02:00:00+00:00,12.566666666666666,12.0,14.0,344.0,12.033333333333331
2021-01-01 03:00:00+00:00,12.033333333333331,11.0,13.0,419.0,11.47457627118644
2021-01-01 04:00:00+00:00,11.47457627118644,10.0,13.0,433.0,11.5
2021-01-01 05:00:00+00:00,11.5,10.0,13.0,443.0,11.983333333333333
2021-01-01 06:00:00+00:00,11.983333333333333,11.0,13.0,539.0,12.383333333333333
2021-01-01 07:00:00+00:00,12.383333333333333,12.0,14.0,540.0,12.516666666666667
2021-01-01 08:00:00+00:00,12.516666666666667,12.0,14.0,571.0,12.6
2021-01-01 09:00:00+00:00,12.6,12.0,14.0,618.0,13.4
2021-01-01 10:00:00+00:00,13.4,13.0,17.0,699.0,13.683333333333334
2021-01-01 11:00:00+00:00,13.683333333333334,13.0,14.0,745.0,12.966666666666669
2021-01-01 12:00:00+00:00,12.966666666666669,12.0,14.0,674.0,12.883333333333333
2021-01-01 13:00:00+00:00,12.883333333333333,12.0,14.0,630.0,12.55
2021-01-01 14:00:00+00:00,12.55,12.0,14.0,638.0,13.6
2021-01-01 15:00:00+00:00,13.6,12.0,15.0,473.0,14.716666666666669
2021-01-01 16:00:00+00:00,14.716666666666669,13.0,16.0,491.0,14.966666666666669
2021-01-01 17:00:00+00:00,14.966666666666669,14.0,16.0,553.0,14.483333333333333
2021-01-01 18:00:00+00:00,14.483333333333333,13.0,15.0,718.0,15.183333333333334
2021-01-01 19:00:00+00:00,15.183333333333334,14.0,17.0,831.0,16.25
2021-01-01 20:00:00+00:00,16.25,15.0,20.0,1053.0,17.566666666666666
2021-01-01 21:00:00+00:00,17.566666666666666,16.0,20.0,703.0,17.7
2021-01-01 22:00:00+00:00,17.7,17.0,20.0,589.0,20.466666666666665
2021-01-01 23:00:00+00:00,20.466666666666665,18.0,23.0,428.0,21.133333333333333
2021-01-02 00:00:00+00:00,21.133333333333333,18.0,25.0,267.0,15.333333333333334
2021-01-02 01:00:00+00:00,15.333333333333334,13.0,19.0,233.0,12.583333333333334
2021-01-02 02:00:00+00:00,12.583333333333334,11.0,15.0,218.0,11.933333333333334
2021-01-02 03:00:00+00:00,11.933333333333334,11.0,14.0,211.0,11.035087719298245
2021-01-02 04:00:00+00:00,11.035087719298245,10.0,14.0,235.0,9.65
2021-01-02 05:00:00+00:00,9.65,8.0,13.0,276.0,8.05
2021-01-02 06:00:00+00:00,8.05,7.0,9.0,255.0,7.383333333333334
2021-01-02 07:00:00+00:00,7.383333333333334,7.0,9.0,243.0,6.9
2021-01-02 08:00:00+00:00,6.9,6.0,8.0,244.0,6.65
2021-01-02 09:00:00+00:00,6.65,6.0,8.0,247.0,7.133333333333334
2021-01-02 10:00:00+00:00,7.133333333333334,6.0,9.0,297.0,7.716666666666667
2021-01-02 11:00:00+00:00,7.716666666666667,7.0,9.0,299.0,9.283333333333331
2021-01-02 12:00:00+00:00,9.283333333333331,8.0,13.0,289.0,9.3
2021-01-02 13:00:00+00:00,9.3,8.0,11.0,369.0,12.4
2021-01-02 14:00:00+00:00,12.4,10.0,16.0,321.0,13.183333333333334
2021-01-02 15:00:00+00:00,13.183333333333334,11.0,16.0,403.0,14.583333333333334
