time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max,Y_pm10
2020-11-01 00:00:00+00:00,513.0,503.0,519.0,34.0,34.0,34.0,17.4,15.0,20.0,22.188333333333333,22.1,22.2,36.25,24.0,45.0,19.216666666666665
2020-11-01 01:00:00+00:00,513.8,505.0,521.0,34.0,34.0,34.0,19.216666666666665,17.0,21.0,22.17833333333333,22.1,22.2,35.11666666666667,29.0,44.0,18.816666666666663
2020-11-01 02:00:00+00:00,511.65,505.0,522.0,34.916666666666664,34.0,35.0,18.816666666666663,17.0,21.0,22.14,22.1,22.2,24.916666666666668,17.0,33.0,18.95
2020-11-01 03:00:00+00:00,514.35,507.0,521.0,35.0,35.0,35.0,18.95,17.0,20.0,22.1,22.1,22.1,19.716666666666665,15.0,28.0,17.6
2020-11-01 04:00:00+00:00,513.9666666666667,505.0,521.0,35.93333333333333,35.0,36.0,17.6,15.0,20.0,22.093333333333337,22.0,22.1,23.58333333333333,15.0,28.0,15.6
2020-11-01 05:00:00+00:00,512.55,498.0,520.0,37.15,36.0,38.0,15.6,14.0,17.0,22.1,22.1,22.1,27.216666666666665,14.0,53.0,19.03333333333333
2020-11-01 06:00:00+00:00,509.8833333333333,503.0,519.0,39.583333333333336,38.0,40.0,19.03333333333333,17.0,22.0,22.005,22.0,22.1,62.66666666666666,53.0,71.0,20.0
2020-11-01 07:00:00+00:00,508.2,502.0,515.0,40.833333333333336,40.0,41.0,20.0,17.0,22.0,22.0,22.0,22.0,62.96666666666667,55.0,72.0,17.15
2020-11-01 08:00:00+00:00,504.6666666666667,494.0,512.0,41.0,41.0,41.0,17.15,15.0,19.0,21.99833333333333,21.9,22.0,47.66666666666666,38.0,58.0,16.983333333333334
2020-11-01 09:00:00+00:00,504.8333333333333,498.0,514.0,41.18333333333333,41.0,42.0,16.983333333333334,14.0,19.0,21.996666666666663,21.9,22.0,47.63333333333333,40.0,51.0,18.616666666666667
2020-11-01 10:00:00+00:00,506.73333333333335,499.0,516.0,42.0,42.0,42.0,18.616666666666667,17.0,20.0,21.95833333333333,21.9,22.0,47.61666666666667,43.0,52.0,19.183333333333334
2020-11-01 11:00:00+00:00,506.06666666666666,500.0,515.0,42.0,42.0,42.0,19.183333333333334,18.0,21.0,21.94833333333333,21.9,22.0,45.73333333333333,37.0,54.0,18.683333333333334
2020-11-01 12:00:00+00:00,503.0833333333333,495.0,511.0,42.23333333333333,42.0,43.0,18.683333333333334,17.0,21.0,21.92333333333333,21.9,22.0,49.0,42.0,55.0,18.266666666666666
2020-11-01 13:00:00+00:00,501.3666666666667,487.0,510.0,43.03333333333333,43.0,44.0,18.266666666666666,15.0,20.0,21.9,21.9,21.9,60.96666666666667,51.0,66.0,20.28333333333333
2020-11-01 14:00:00+00:00,505.6,492.0,514.0,44.0,44.0,44.0,20.28333333333333,14.0,29.0,21.9,21.9,21.9,87.53333333333333,61.0,118.0,31.6
2020-11-01 15:00:00+00:00,513.3833333333333,504.0,522.0,44.56666666666667,44.0,45.0,31.6,26.0,37.0,21.9,21.9,21.9,127.15,110.0,146.0,40.333333333333336
2020-11-01 16:00:00+00:00,518.25,510.0,525.0,45.0,45.0,45.0,40.333333333333336,35.0,47.0,21.9,21.9,21.9,140.95,133.0,147.0,55.48333333333333
2020-11-01 17:00:00+00:00,517.8666666666667,509.0,528.0,45.28333333333333,45.0,46.0,55.48333333333333,47.0,66.0,21.906666666666663,21.9,22.0,143.16666666666666,138.0,149.0,55.388888888888886
2020-11-01 18:00:00+00:00,522.7166666666667,515.0,533.0,45.03333333333333,45.0,46.0,55.388888888888886,63.0,75.0,21.936666666666667,21.9,22.0,152.13333333333333,142.0,156.0,55.29444444444444
2020-11-01 19:00:00+00:00,528.7666666666667,517.0,536.0,45.016666666666666,45.0,46.0,55.29444444444444,74.0,88.0,21.9,21.9,21.9,151.3,141.0,157.0,55.2
2020-11-01 20:00:00+00:00,536.1666666666666,521.0,549.0,45.0,45.0,45.0,55.2,85.0,93.0,21.89333333333333,21.8,21.9,163.11666666666667,154.0,171.0,55.105555555555554
2020-11-01 21:00:00+00:00,537.55,530.0,545.0,45.0,45.0,45.0,55.105555555555554,91.0,98.0,21.83833333333333,21.8,21.9,163.51666666666668,158.0,170.0,55.01111111111111
2020-11-01 22:00:00+00:00,542.0333333333333,534.0,553.0,45.0,45.0,45.0,55.01111111111111,92.0,98.0,21.805,21.8,21.9,169.88333333333333,158.0,177.0,54.91666666666666
2020-11-01 23:00:00+00:00,549.55,540.0,559.0,44.91666666666666,44.0,45.0,54.91666666666666,88.0,97.0,21.791666666666668,21.7,21.8,178.93333333333334,162.0,190.0,54.82222222222222
2020-11-02 00:00:00+00:00,553.65,544.0,563.0,43.8,43.0,44.0,54.82222222222222,69.0,90.0,21.706666666666663,21.6,21.8,140.6,72.0,164.0,54.727777777777774
2020-11-02 01:00:00+00:00,553.2166666666667,543.0,563.0,42.3,42.0,43.0,54.727777777777774,58.0,71.0,21.60333333333333,21.5,21.7,103.73333333333332,66.0,130.0,54.63333333333333
2020-11-02 02:00:00+00:00,556.6666666666666,546.0,566.0,41.63333333333333,41.0,42.0,54.63333333333333,49.0,61.0,21.453333333333333,21.4,21.5,119.85,97.0,132.0,49.05
2020-11-02 03:00:00+00:00,564.2,553.0,575.0,41.0,41.0,41.0,49.05,45.0,53.0,21.39,21.3,21.4,117.45,111.0,127.0,44.1578947368421
2020-11-02 04:00:00+00:00,576.0175438596491,568.0,587.0,41.0,41.0,41.0,44.1578947368421,41.0,48.0,21.27894736842105,21.0,21.4,123.859649122807,117.0,133.0,39.38333333333333
2020-11-02 05:00:00+00:00,576.9666666666667,561.0,589.0,40.13333333333333,38.0,41.0,39.38333333333333,34.0,43.0,21.28666666666667,21.2,21.3,93.33333333333331,0.0,148.0,35.45
2020-11-02 06:00:00+00:00,574.15,553.0,603.0,38.583333333333336,38.0,39.0,35.45,33.0,38.0,21.205,21.2,21.3,73.83333333333333,0.0,126.0,33.93333333333333
