time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max
2021-01-01 00:00:00+00:00,292.15,287.0,299.0,27.98333333333333,27.0,28.0,14.583333333333334,12.0,17.0,4.081833333333333,4.0,4.2,286.51666666666665,244.0,350.0
2021-01-01 01:00:00+00:00,291.06666666666666,283.0,302.0,28.0,28.0,28.0,13.216666666666669,10.0,15.0,4.0216666666666665,3.9,4.2,281.26666666666665,240.0,325.0
2021-01-01 02:00:00+00:00,292.1,284.0,301.0,28.0,28.0,28.0,11.316666666666666,10.0,14.0,3.963333333333333,3.9,4.0,277.5833333333333,229.0,324.0
2021-01-01 03:00:00+00:00,295.49122807017545,288.0,300.0,28.0,28.0,28.0,11.75438596491228,10.0,13.0,3.8456140350877193,3.4,4.0,275.7543859649123,221.0,321.0
2021-01-01 04:00:00+00:00,294.56666666666666,289.0,301.0,28.0,28.0,28.0,10.966666666666669,9.0,13.0,3.768333333333333,3.6,3.9,247.86666666666667,218.0,301.0
2021-01-01 05:00:00+00:00,299.4166666666667,292.0,309.0,28.0,28.0,28.0,10.9,9.0,13.0,3.7066666666666666,3.6,3.8,284.76666666666665,213.0,346.0
2021-01-01 06:00:00+00:00,310.2,303.0,320.0,28.0,28.0,28.0,11.933333333333334,10.0,14.0,3.73,3.6,3.8,316.26666666666665,260.0,356.0
2021-01-01 07:00:00+00:00,316.26666666666665,303.0,327.0,28.0,28.0,28.0,12.583333333333334,10.0,15.0,3.643333333333333,3.6,3.7,318.5,270.0,353.0
2021-01-01 08:00:00+00:00,321.1,315.0,327.0,28.35,28.0,29.0,13.316666666666666,11.0,16.0,3.631666666666667,3.6,3.7,317.53333333333336,268.0,355.0
2021-01-01 09:00:00+00:00,322.6,310.0,327.0,28.883333333333333,28.0,29.0,12.916666666666666,11.0,15.0,3.7066666666666666,3.6,4.0,294.6333333333333,253.0,328.0
2021-01-01 10:00:00+00:00,322.3833333333333,316.0,331.0,29.0,29.0,29.0,13.45,12.0,15.0,4.127833333333333,4.0,4.4,379.81666666666666,310.0,453.0
2021-01-01 11:00:00+00:00,321.0,311.0,329.0,29.0,29.0,29.0,13.283333333333331,11.0,16.0,4.817166666666666,4.4,5.2,409.6666666666667,374.0,456.0
2021-01-01 12:00:00+00:00,312.51666666666665,306.0,323.0,29.0,29.0,29.0,12.466666666666669,10.0,14.0,5.598333333333333,5.2,5.9,474.4,444.0,541.0
2021-01-01 13:00:00+00:00,299.03333333333336,287.0,313.0,29.03333333333333,29.0,30.0,12.083333333333334,10.0,14.0,6.076666666666667,5.9,6.2,479.6166666666667,315.0,550.0
2021-01-01 14:00:00+00:00,291.51666666666665,285.0,301.0,29.166666666666668,29.0,30.0,12.733333333333333,11.0,15.0,6.046666666666667,6.0,6.2,468.8666666666667,277.0,544.0
2021-01-01 15:00:00+00:00,287.1333333333333,279.0,301.0,30.0,30.0,30.0,12.983333333333333,11.0,15.0,5.895,5.8,6.0,419.23333333333335,358.0,485.0
2021-01-01 16:00:00+00:00,286.2333333333333,280.0,293.0,30.0,30.0,30.0,12.2,11.0,14.0,5.756666666666666,5.7,5.9,418.28333333333336,364.0,477.0
2021-01-01 17:00:00+00:00,288.03333333333336,281.0,298.0,30.0,30.0,30.0,11.85,10.0,13.0,5.833333333333333,5.6,6.2,351.8,264.0,453.0
2021-01-01 18:00:00+00:00,288.53333333333336,278.0,297.0,30.0,30.0,30.0,11.516666666666667,10.0,14.0,6.306666666666667,6.1,6.4,245.41666666666663,233.0,264.0
2021-01-01 19:00:00+00:00,293.45,284.0,308.0,30.58333333333333,30.0,31.0,12.333333333333334,11.0,14.0,6.391666666666667,6.3,6.5,250.05,237.0,270.0
2021-01-01 20:00:00+00:00,300.8,291.0,308.0,31.0,31.0,31.0,14.25,12.0,17.0,6.420000000000001,6.4,6.5,280.0833333333333,253.0,315.0
2021-01-01 21:00:00+00:00,305.35,295.0,312.0,31.55,31.0,32.0,16.2,14.0,19.0,5.876666666666667,5.5,6.4,411.31666666666666,322.0,477.0
2021-01-01 22:00:00+00:00,300.55,293.0,307.0,31.28333333333333,31.0,32.0,15.566666666666666,14.0,18.0,5.485,5.4,5.7,431.75,390.0,489.0
2021-01-01 23:00:00+00:00,295.8333333333333,289.0,304.0,31.0,31.0,31.0,15.983333333333333,14.0,19.0,5.34,5.2,5.5,387.0833333333333,355.0,424.0
2021-01-02 00:00:00+00:00,291.05,284.0,302.0,30.633333333333333,30.0,31.0,16.65,15.0,19.0,5.069,4.9,5.4,345.26666666666665,300.0,413.0
2021-01-02 01:00:00+00:00,286.3333333333333,279.0,299.0,29.916666666666668,29.0,30.0,14.516666666666667,12.0,17.0,4.864999999999999,4.7,5.0,288.5833333333333,235.0,352.0
2021-01-02 02:00:00+00:00,282.3833333333333,271.0,289.0,29.23333333333333,29.0,30.0,11.983333333333333,9.0,14.0,4.558166666666667,4.4,4.8,229.9333333333333,200.0,250.0
2021-01-02 03:00:00+00:00,280.6140350877193,274.0,288.0,29.0,29.0,29.0,10.508771929824562,9.0,12.0,4.46,4.09,4.59,192.52631578947367,172.0,223.0
2021-01-02 04:00:00+00:00,279.15,269.0,285.0,28.98333333333333,28.0,29.0,9.816666666666666,8.0,12.0,4.205,4.09,4.3,174.53333333333333,157.0,195.0
2021-01-02 05:00:00+00:00,278.56666666666666,273.0,286.0,28.416666666666668,28.0,29.0,9.2,7.0,11.0,4.0248333333333335,3.9,4.2,151.9,124.0,174.0
2021-01-02 06:00:00+00:00,277.6666666666667,271.0,287.0,28.0,28.0,28.0,7.7,7.0,10.0,3.826666666666666,3.7,4.0,138.46666666666667,108.0,174.0
2021-01-02 07:00:00+00:00,277.56666666666666,272.0,285.0,28.0,28.0,28.0,6.75,6.0,9.0,3.608333333333333,3.5,3.7,133.35,115.0,156.0
2021-01-02 08:00:00+00:00,279.93333333333334,275.0,290.0,27.98333333333333,27.0,28.0,6.2,5.0,8.0,3.4916666666666667,3.4,3.6,118.96666666666668,91.0,144.0
2021-01-02 09:00:00+00:00,280.43333333333334,275.0,286.0,27.4,27.0,28.0,5.95,5.0,8.0,3.57,3.4,4.0,100.6,63.0,137.0
2021-01-02 10:00:00+00:00,280.43333333333334,272.0,288.0,27.0,27.0,27.0,6.416666666666667,5.0,9.0,4.032666666666667,3.9,4.2,91.38333333333334,58.0,130.0
2021-01-02 11:00:00+00:00,278.0833333333333,271.0,289.0,27.0,27.0,27.0,7.666666666666667,6.0,10.0,4.518833333333333,4.2,4.9,73.26666666666667,59.0,96.0
2021-01-02 12:00:00+00:00,272.75,264.0,283.0,26.8,25.0,27.0,8.733333333333333,7.0,13.0,5.208666666666667,4.9,5.4,104.61666666666666,72.0,142.0
2021-01-02 13:00:00+00:00,269.7,262.0,275.0,25.98333333333333,25.0,27.0,10.583333333333334,9.0,12.0,5.305000000000001,5.2,5.4,95.85,55.0,148.0
2021-01-02 14:00:00+00:00,269.4833333333333,264.0,276.0,25.98333333333333,25.0,26.0,11.566666666666666,9.0,15.0,5.126666666666667,5.09,5.2,74.1,13.0,135.0
2021-01-02 15:00:00+00:00,268.3333333333333,261.0,275.0,26.0,26.0,26.0,12.666666666666666,10.0,14.0,5.587833333333333,5.09,5.9,84.81666666666666,59.0,139.0
2021-01-02 16:00:00+00:00,265.46666666666664,258.0,273.0,25.966666666666665,25.0,26.0,14.133333333333333,12.0,16.0,6.0216666666666665,5.9,6.1,85.93333333333334,53.0,128.0
2021-01-02 17:00:00+00:00,267.8666666666667,259.0,277.0,26.0,26.0,26.0,14.983333333333333,13.0,18.0,5.77,5.5,6.0,107.13333333333334,74.0,138.0
2021-01-02 18:00:00+00:00,272.43333333333334,266.0,283.0,26.266666666666666,26.0,27.0,15.416666666666666,13.0,18.0,5.192666666666667,4.9,5.5,85.63333333333334,63.0,111.0
2021-01-02 19:00:00+00:00,276.3666666666667,269.0,283.0,26.916666666666668,26.0,27.0,16.216666666666665,14.0,19.0,4.781166666666667,4.59,5.0,64.8,40.0,94.0
2021-01-02 20:00:00+00:00,278.5,268.0,286.0,26.95,26.0,27.0,15.833333333333334,14.0,17.0,4.595,4.4,4.7,58.96666666666667,31.0,79.0
2021-01-02 21:00:00+00:00,278.81666666666666,273.0,285.0,26.6,26.0,27.0,16.85,14.0,19.0,4.496333333333334,4.3,4.8,53.23333333333333,21.0,76.0
2021-01-02 22:00:00+00:00,279.95,274.0,286.0,26.316666666666663,26.0,27.0,17.866666666666667,16.0,20.0,4.305000000000001,4.2,4.5,45.63333333333333,26.0,67.0
2021-01-02 23:00:00+00:00,280.6333333333333,271.0,288.0,26.633333333333333,26.0,27.0,18.816666666666663,16.0,21.0,4.0361666666666665,3.9,4.3,40.38333333333333,9.0,83.0
2021-01-03 00:00:00+00:00,280.4833333333333,274.0,287.0,26.0,26.0,26.0,18.716666666666665,16.0,21.0,3.8895,3.7,4.09,13.133333333333333,0.0,44.0
