time,in_pm10,in_pm10_min,in_pm10_max,in_voc_min,Y_pm10
2020-11-01 00:00:00+00:00,3.3773584905660377,3.0,5.0,1.0,3.0
2020-11-01 01:00:00+00:00,3.0,3.0,3.0,2.0,3.0166666666666666
2020-11-01 02:00:00+00:00,3.0166666666666666,3.0,4.0,4.0,2.9322033898305087
2020-11-01 03:00:00+00:00,2.9322033898305087,2.0,3.0,3.0,2.85
2020-11-01 04:00:00+00:00,2.85,2.0,3.0,5.0,2.8
2020-11-01 05:00:00+00:00,2.8,2.0,3.0,4.0,2.533333333333333
2020-11-01 06:00:00+00:00,2.533333333333333,2.0,3.0,5.0,2.7333333333333334
2020-11-01 07:00:00+00:00,2.7333333333333334,2.0,3.0,5.0,3.433333333333333
2020-11-01 08:00:00+00:00,3.433333333333333,2.0,5.0,10.0,4.2
2020-11-01 09:00:00+00:00,4.2,3.0,5.0,28.0,4.35
2020-11-01 10:00:00+00:00,4.35,3.0,5.0,65.0,3.216666666666667
2020-11-01 11:00:00+00:00,3.216666666666667,3.0,4.0,92.0,3.0
2020-11-01 12:00:00+00:00,3.0,3.0,3.0,0.0,3.15
2020-11-01 13:00:00+00:00,3.15,3.0,4.0,2.0,3.066666666666667
2020-11-01 14:00:00+00:00,3.066666666666667,3.0,4.0,5.0,2.95
2020-11-01 15:00:00+00:00,2.95,2.0,3.0,19.0,2.6666666666666665
2020-11-01 16:00:00+00:00,2.6666666666666665,2.0,3.0,28.0,1.8333333333333333
2020-11-01 17:00:00+00:00,1.8333333333333333,1.0,2.0,16.0,1.0166666666666666
2020-11-01 18:00:00+00:00,1.0166666666666666,1.0,2.0,11.0,0.85
2020-11-01 19:00:00+00:00,0.85,0.0,1.0,7.0,0.1166666666666666
2020-11-01 20:00:00+00:00,0.1166666666666666,0.0,1.0,7.0,0.45
2020-11-01 21:00:00+00:00,0.45,0.0,1.0,4.0,0.8333333333333334
2020-11-01 22:00:00+00:00,0.8333333333333334,0.0,1.0,8.0,1.0
2020-11-01 23:00:00+00:00,1.0,1.0,1.0,14.0,1.0754716981132075
2020-11-02 00:00:00+00:00,1.0754716981132075,1.0,2.0,2.0,1.55
2020-11-02 01:00:00+00:00,1.55,1.0,2.0,2.0,2.0166666666666666
2020-11-02 02:00:00+00:00,2.0166666666666666,2.0,3.0,4.0,2.4237288135593222
2020-11-02 03:00:00+00:00,2.4237288135593222,2.0,3.0,3.0,2.283333333333333
2020-11-02 04:00:00+00:00,2.283333333333333,2.0,3.0,2.0,2.216666666666667
2020-11-02 05:00:00+00:00,2.216666666666667,2.0,3.0,3.0,2.6
2020-11-02 06:00:00+00:00,2.6,2.0,4.0,3.0,3.966666666666667
2020-11-02 07:00:00+00:00,3.966666666666667,3.0,6.0,3.0,12.183333333333334
2020-11-02 08:00:00+00:00,12.183333333333334,3.0,24.0,3.0,27.166666666666668
2020-11-02 09:00:00+00:00,27.166666666666668,22.0,34.0,565.0,24.6
2020-11-02 10:00:00+00:00,24.6,17.0,31.0,2.0,15.05
2020-11-02 11:00:00+00:00,15.05,10.0,21.0,0.0,8.627118644067796
2020-11-02 12:00:00+00:00,8.627118644067796,5.0,14.0,0.0,9.8
2020-11-02 13:00:00+00:00,9.8,6.0,15.0,183.0,9.3
2020-11-02 14:00:00+00:00,9.3,3.0,16.0,0.0,3.7
2020-11-02 15:00:00+00:00,3.7,2.0,5.0,1.0,0.7333333333333333
