time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max
2020-11-01 00:00:00+00:00,459.7547169811321,453.0,467.0,33.0,33.0,33.0,3.3773584905660377,3.0,5.0,21.33962264150944,21.3,21.4,38.50943396226416,1.0,134.0
2020-11-01 01:00:00+00:00,460.6333333333333,450.0,471.0,33.516666666666666,33.0,34.0,3.0,3.0,3.0,21.471666666666668,21.4,21.6,5.05,2.0,14.0
2020-11-01 02:00:00+00:00,462.7166666666666,454.0,473.0,33.3,33.0,34.0,3.0166666666666666,3.0,4.0,21.91333333333333,21.6,22.2,6.766666666666667,4.0,11.0
2020-11-01 03:00:00+00:00,466.33898305084745,454.0,475.0,33.0,33.0,33.0,2.9322033898305087,2.0,3.0,22.496610169491525,22.2,22.7,6.084745762711864,3.0,9.0
2020-11-01 04:00:00+00:00,466.48333333333335,458.0,474.0,32.8,32.0,33.0,2.85,2.0,3.0,22.935,22.7,23.2,7.95,5.0,11.0
2020-11-01 05:00:00+00:00,468.1,460.0,473.0,32.0,32.0,32.0,2.8,2.0,3.0,23.465,23.2,23.7,8.05,4.0,11.0
2020-11-01 06:00:00+00:00,468.5833333333333,462.0,476.0,32.0,32.0,32.0,2.533333333333333,2.0,3.0,23.99,23.7,24.2,8.366666666666667,5.0,12.0
2020-11-01 07:00:00+00:00,469.5833333333333,461.0,479.0,31.883333333333333,31.0,32.0,2.7333333333333334,2.0,3.0,24.295,24.2,24.4,8.8,5.0,12.0
2020-11-01 08:00:00+00:00,467.75,460.0,477.0,32.0,32.0,32.0,3.433333333333333,2.0,5.0,24.438333333333333,24.4,24.5,19.116666666666667,10.0,28.0
2020-11-01 09:00:00+00:00,458.9,449.0,468.0,32.0,32.0,32.0,4.2,3.0,5.0,24.53333333333333,24.5,24.6,46.3,28.0,65.0
2020-11-01 10:00:00+00:00,447.23333333333335,437.0,458.0,32.13333333333333,32.0,33.0,4.35,3.0,5.0,24.59666666666667,24.5,24.6,80.65,65.0,94.0
2020-11-01 11:00:00+00:00,443.51666666666665,438.0,451.0,33.0,33.0,33.0,3.216666666666667,3.0,4.0,24.501666666666665,24.4,24.6,95.85,92.0,100.0
2020-11-01 12:00:00+00:00,440.6271186440678,434.0,449.0,33.0,33.0,33.0,3.0,3.0,3.0,24.383050847457625,24.3,24.4,24.35593220338983,0.0,98.0
2020-11-01 13:00:00+00:00,435.81666666666666,428.0,448.0,33.06666666666667,33.0,34.0,3.15,3.0,4.0,24.26333333333333,24.2,24.3,3.866666666666666,2.0,6.0
2020-11-01 14:00:00+00:00,433.78333333333336,426.0,442.0,34.0,34.0,34.0,3.066666666666667,3.0,4.0,24.096666666666668,24.0,24.2,12.6,5.0,21.0
