time,in_co2,in_co2_min,in_co2_max,in_humi,in_humi_min,in_humi_max,in_pm10,in_pm10_min,in_pm10_max,in_temp,in_temp_min,in_temp_max,in_voc,in_voc_min,in_voc_max,Y_pm10
2020-11-01 00:00:00+00:00,445.35,439.0,451.0,34.9,34.0,35.0,4.9,4.0,6.0,20.7,20.6,20.8,5.433333333333334,3.0,9.0,4.6
2020-11-01 01:00:00+00:00,446.48333333333335,440.0,454.0,34.516666666666666,34.0,35.0,4.6,4.0,6.0,20.985,20.8,21.1,8.416666666666666,7.0,11.0,4.133333333333334
2020-11-01 02:00:00+00:00,448.5833333333333,440.0,456.0,33.983333333333334,33.0,34.0,4.133333333333334,3.0,6.0,21.540000000000003,21.1,22.0,9.833333333333334,8.0,12.0,3.2033898305084745
2020-11-01 03:00:00+00:00,451.271186440678,445.0,459.0,33.0,33.0,33.0,3.2033898305084745,3.0,4.0,22.27796610169492,22.0,22.5,8.64406779661017,7.0,11.0,3.0
2020-11-01 04:00:00+00:00,450.75,444.0,460.0,33.0,33.0,33.0,3.0,3.0,3.0,22.725,22.5,23.0,10.9,8.0,13.0,3.0
2020-11-01 05:00:00+00:00,451.0,443.0,458.0,32.31666666666667,32.0,33.0,3.0,3.0,3.0,23.381666666666668,23.0,23.6,13.266666666666667,11.0,15.0,3.0
2020-11-01 06:00:00+00:00,450.76666666666665,443.0,460.0,32.0,32.0,32.0,3.0,3.0,3.0,23.87333333333333,23.7,24.1,13.033333333333331,11.0,16.0,3.05
2020-11-01 07:00:00+00:00,449.48333333333335,443.0,455.0,32.0,32.0,32.0,3.05,3.0,4.0,24.21833333333333,24.1,24.3,14.183333333333334,12.0,17.0,3.933333333333333
2020-11-01 08:00:00+00:00,448.48333333333335,440.0,454.0,32.0,32.0,32.0,3.933333333333333,3.0,5.0,24.396666666666665,24.3,24.5,22.35,17.0,29.0,4.783333333333333
2020-11-01 09:00:00+00:00,438.28333333333336,427.0,449.0,32.0,32.0,32.0,4.783333333333333,4.0,6.0,24.511666666666667,24.5,24.6,39.65,28.0,52.0,4.65
2020-11-01 10:00:00+00:00,427.05,419.0,432.0,32.38333333333333,32.0,33.0,4.65,4.0,6.0,24.53833333333333,24.5,24.6,59.3,50.0,66.0,3.716981132075472
2020-11-01 11:00:00+00:00,423.1320754716981,415.0,432.0,33.0,33.0,33.0,3.716981132075472,3.0,5.0,24.40943396226416,24.3,24.5,20.77358490566038,4.0,69.0,3.25
2020-11-01 12:00:00+00:00,419.51666666666665,409.0,426.0,33.2,33.0,34.0,3.25,3.0,4.0,24.261666666666667,24.1,24.4,5.666666666666667,4.0,10.0,3.566666666666667
2020-11-01 13:00:00+00:00,417.1,409.0,425.0,33.95,33.0,34.0,3.566666666666667,3.0,4.0,24.09,24.0,24.2,9.216666666666669,4.0,12.0,3.216666666666667
2020-11-01 14:00:00+00:00,414.76666666666665,406.0,424.0,34.0,34.0,34.0,3.216666666666667,3.0,4.0,23.885,23.8,24.0,15.95,8.0,22.0,3.0166666666666666
2020-11-01 15:00:00+00:00,415.28333333333336,406.0,424.0,34.95,34.0,35.0,3.0166666666666666,3.0,4.0,23.746666666666663,23.7,23.8,26.633333333333333,21.0,32.0,2.8833333333333333
2020-11-01 16:00:00+00:00,418.01666666666665,413.0,425.0,35.03333333333333,35.0,36.0,2.8833333333333333,2.0,3.0,23.611666666666668,23.5,23.7,30.683333333333334,28.0,33.0,2.0166666666666666
2020-11-01 17:00:00+00:00,414.73333333333335,404.0,421.0,35.983333333333334,35.0,36.0,2.0166666666666666,2.0,3.0,23.451666666666664,23.4,23.5,26.816666666666663,22.0,30.0,1.4833333333333334
2020-11-01 18:00:00+00:00,410.2,400.0,420.0,36.0,36.0,36.0,1.4833333333333334,1.0,2.0,23.28666666666667,23.2,23.4,23.45,21.0,26.0,1.0166666666666666
2020-11-01 19:00:00+00:00,411.1666666666667,402.0,421.0,36.41666666666666,36.0,37.0,1.0166666666666666,1.0,2.0,23.151666666666664,23.1,23.2,21.066666666666663,19.0,23.0,1.0
